6099,1,229804352,0x830F09
6082,5,7755321546,0x860F16
6040,4,9900882345,0x833B08
6058,2,4455123897,0x860F16
6093,5,9884554321,0x860F16
6091,2,4455123897,0x734F06
6055,1,0075566321,0x829F08
6091,5,229804352,0x841A14
6051,5,6600443311,0x833B08
6027,1,0066832145,0x756511
6079,4,0134679876,0x829F08
6053,4,0066832145,0x833B08
6046,5,8877123432,0x860F16
6033,2,0075566321,0x889F04
6061,3,6600443311,0x869B11
6054,2,1234567890,0x830F09
6058,4,0075566321,0x869C08
6045,4,880983451,0x869C08
6079,1,4439088765,0x829F08
6045,4,880983451,0x756511
6091,5,1190843212,0x841A14
6071,4,0066832145,0x829554
6050,2,1190843212,0x839008
6033,4,8877123432,0x789F17
6067,1,0066832145,0x899A09
6076,1,880983451,0x841A14
6072,4,6600443311,0x830F09
6031,2,9884554321,0x833B08
6025,3,0134679876,0x869B11
6094,4,8879036752,0x756511
6040,2,1234567890,0x860F16
6040,2,8877123432,0x899A09
6072,1,9678005533,0x829F44
6029,1,0134679876,0x734F06
6081,3,9884554321,0x833B08
6045,2,0134679876,0x789F17
6024,5,9678005533,0x829554
6085,5,7755321546,0x829F08
6061,5,4455123897,0x841A14
6034,4,8879036752,0x829554
6056,2,0066832145,0x734F06
6098,2,8879036752,0x899A09
6035,5,1234567890,0x829F08
6040,3,229804352,0x829F44
6056,5,4439088765,0x869B11
6084,3,0066832145,0x756511
6042,5,9900882345,0x841A14
6026,5,0027990077,0x829F44
6058,5,0075566321,0x839008
6053,4,4439088765,0x869B11
6031,1,9900882345,0x860F16
6029,4,880983451,0x829F44
6027,1,0027990077,0x841A14
6080,4,9884554321,0x899A09
6085,2,9884554321,0x833B08
6025,4,1190843212,0x899A09
6030,3,880983451,0x869C08
6086,5,880983451,0x734F06
6045,5,5577993322,0x756511
6047,1,7755321546,0x889F04
6098,4,4439088765,0x756511
6065,2,229804352,0x869C08
6078,2,9884554321,0x829554
6081,2,880983451,0x789F17
6062,1,0066832145,0x756511
6077,2,0066832145,0x839008
6050,5,880983451,0x829F44
6086,4,5577993322,0x841A14
6063,2,7755321546,0x899A09
6067,3,8879036752,0x830F09
6047,1,5577993322,0x869B11
6055,2,5577993322,0x756511
6039,1,8879036752,0x829F44
6097,2,9900882345,0x889F04
6030,2,7755321546,0x789F17
6071,4,9900882345,0x841A14
6038,4,5577993322,0x860F16
6086,3,0066832145,0x734F06
6039,4,0027990077,0x839008
6065,1,229804352,0x734F06
6032,4,5577993322,0x756511
6030,5,4455123897,0x869C08
6085,4,0066832145,0x756511
6067,5,7755321546,0x830F09
6029,1,0027990077,0x830F09
6075,2,880983451,0x734F06
6051,3,9884554321,0x839008
6057,3,4455123897,0x833B08
6030,3,0075566321,0x841A14
6047,3,0134679876,0x829F08
6035,2,6600443311,0x734F06
6069,4,4455123897,0x789F17
6078,3,8879036752,0x756511
6076,1,4455123897,0x869C08
6092,3,0075566321,0x899A09
6077,5,9900882345,0x833B08
6028,4,6600443311,0x756511
6044,1,9678005533,0x833B08
6046,4,0066832145,0x829F44
6066,5,9884554321,0x841A14
6076,5,9884554321,0x734F06
6031,2,8879036752,0x841A14
6100,4,4439088765,0x756511
6046,2,880983451,0x734F06
6048,4,0066832145,0x869C08
6068,5,4439088765,0x829F08
6075,2,8879036752,0x829F44
6090,3,9900882345,0x860F16
6064,2,0134679876,0x869C08
6029,4,9678005533,0x869C08
6046,3,1190843212,0x869B11
6078,4,0075566321,0x889F04
6058,1,0027990077,0x860F16
6030,1,6600443311,0x756511
6056,3,229804352,0x869B11
6085,4,9900882345,0x833B08
6055,3,9678005533,0x830F09
6070,1,229804352,0x860F16
6037,4,229804352,0x899A09
6089,3,5577993322,0x860F16
6073,2,0027990077,0x829554
6081,2,4439088765,0x756511
6080,4,9678005533,0x734F06
6087,4,229804352,0x869C08
6063,2,880983451,0x869B11
6061,1,1234567890,0x829554
6086,4,0134679876,0x839008
6090,5,0066832145,0x869C08
6035,5,9884554321,0x833B08
6078,5,0027990077,0x829F44
6037,5,7755321546,0x829F44
6096,1,8879036752,0x889F04
6058,2,1234567890,0x829F08
6099,5,0075566321,0x789F17
6029,3,7755321546,0x829F44
6097,2,229804352,0x860F16
6047,5,8879036752,0x839008
6043,3,9900882345,0x869B11
6038,4,0027990077,0x829F44
6041,3,0134679876,0x830F09
6056,2,9884554321,0x869C08
6065,5,9884554321,0x869C08
6096,4,8877123432,0x830F09
6046,2,9884554321,0x869C08
6063,3,229804352,0x833B08
6065,5,880983451,0x869C08
6079,1,1190843212,0x841A14
6070,5,0134679876,0x869B11
6060,2,8879036752,0x860F16
6084,5,0066832145,0x841A14
6083,2,0134679876,0x860F16
6043,1,9678005533,0x839008
6096,2,6600443311,0x830F09
6094,2,9884554321,0x734F06
6090,5,4439088765,0x833B08
6049,2,6600443311,0x833B08
6064,1,9900882345,0x830F09
6034,4,0066832145,0x889F04
6077,5,9900882345,0x869C08
6063,3,880983451,0x839008
6050,2,4439088765,0x833B08
6077,4,0066832145,0x830F09
6066,4,880983451,0x734F06
6078,1,0027990077,0x860F16
6071,1,7755321546,0x889F04
6041,4,880983451,0x829F08
6054,3,6600443311,0x829F08
6070,4,9900882345,0x839008
6045,4,880983451,0x869C08
6047,3,1190843212,0x829F08
6034,2,6600443311,0x830F09
6096,5,4455123897,0x860F16
6041,5,0134679876,0x829F44
6071,3,5577993322,0x833B08
6052,5,229804352,0x833B08
6096,3,0027990077,0x734F06
6047,5,0066832145,0x899A09
6045,5,1190843212,0x839008
6097,1,8877123432,0x841A14
6085,2,9678005533,0x869C08
6030,4,1190843212,0x829554
6073,2,9900882345,0x734F06
6079,1,6600443311,0x833B08
6097,1,7755321546,0x756511
6030,1,0134679876,0x899A09
6054,3,1190843212,0x869C08
6088,3,8877123432,0x734F06
6099,5,6600443311,0x841A14
6085,5,9678005533,0x756511
